Word,Reading,Meaning
何とも,なんとも,"really, very, extremely"
何しろ,なにしろ,"at any rate, anyhow, anyway"
何分,なにぶん,"some, any, a little, of some kind"
何となく,なんとなく,somehow or other
何より,なにより,above anything else
何だか,なんだか,"a little, somewhat, somehow​"
何卒,なにとぞ,"please, kindly"
父母,ふぼ,parents
叔父,おじ,uncle
祖父母,そふぼ,grandparents
西洋,せいよう,the west
東西,とうざい,east and west
西部,せいぶ,western part
小屋,こや,"hut, cabin"
小切手,こぎって,"cheque, check"
小鳥,ことり,small bird
小売,こうり,retail
小包,こづつみ,"parcel, package"
大小,だいしょう,size
電話,でんわ,telephone call
話題,わだい,"topic, subject"
神話,しんわ,"myth, legend"
童話,どうわ,fairy tale
世話,せわ,"care, looking after"
対話,たいわ,dialogue
合図,あいず,"sign, signal, cue"
合格,ごうかく,"passing an exam, pass"
合計,ごうけい,sum total
合流,ごうりゅう,"confluence, merge "
合意,ごうい,"agreement, consent"
合わす,あわす,"to match, join together"
合金,ごうきん,alloy
部屋,へや,room
学部,がくぶ,department of a university
部品,ぶひん,"parts, accessories, components"
案内,あんない,"guidance, leading the way"
内科,ないか,internal medicine​
内臓,ないぞう,internal organs
内訳,うちわけ,"itemization, breakdown"
内乱,ないらん,"civil war, rebellion"
家内,かない,my wife
実験,じっけん,experiment
現実,げんじつ,reality
実践,じっせん,putting into practice
実現,じつげん,implementation
確実,かくじつ,"certain, sure, definite"
実施,じっし,"enforcement, implementation"
実績,じっせき,"achievements, actual results"
脳死,のうし,brain death
脳裏,のうり,one's mind
脳震盪,のうしんとう,concussion of the brain
脳出血,のうしゅっけつ,cerebral hemorrhage
大脳,だいのう,cerebrum
脳炎,のうえん,brain inflammation
郵便箱,ゆうびんばこ,mailbox
枚挙,まいきょ,enumeration
焦燥,しょうそう,"impatience, uneasiness, irritation"
濃厚,のうこう,"rich, strong, heavy, thick, dense"
濃霧,のうむ,thick fog
濃淡,のうたん," light and shade, complexity"
缶詰,かんづめ,canned food
大詰め,おおづめ,final scene
詰め込む,つめこむ,"to cram, stuff, squeeze, pack"
若干,じゃっかん,"some, few, a number of"
干物,ひもの,dried fish
干し物,ほしもの,things dried in the sun 
軍艦,ぐんかん,warship
海軍,かいぐん,navy
軍縮,ぐんしゅく,reduction of armaments
空軍,くうぐん,air force
軍団,ぐんだん,army corps
丸ごと,まるごと,"in its entirety, whole"
弾丸,だんがん,bullet
真ん丸,まんまる,perfect circle​
夕方,ゆうがた,"evening, dusk"
方言,ほうげん,dialect
両方,りょうほう," both, both sides"
地方,ちほう,"district, region, area"
一方,いっぽう,"one way, the other way"
方針,ほうしん,"policy, course"
方面,ほうめん,"direction, district, area"
遠方,えんぽう,"long way, distant place"
特徴,とくちょう,"feature, trait, characteristic"
特定,とくてい,"specific, particular, designated"
特色,とくしょく,"characteristic, feature"
特殊,とくしゅ,"special, particular, peculiar"
特売,とくばい,special sale
特有,とくゆう,"characteristic of, peculiar to"
特権,とっけん,"privilege, special right"
特集,とくしゅう,"feature, special edition"
特性,とくせい,special characteristic
逃走,とうそう,"flight, desertion, escape"
走行,そうこう,"running of a car, travelling"
走者,そうしゃ,runner
競走,きょうそう,race
舞台,ぶたい,stage
灯台,とうだい,lighthouse
台本,だいほん,script
台地,だいち,plateau
台湾,たいわん,taiwan
弁当,べんとう,japanese box lunch
当時,とうじ,at that time
担当,たんとう,being in charge
見当,けんとう,"estimate, guess"
当たり前,あたりまえ,"natural, usual, common"
不当,ふとう,"injustice, unfair, invalid"
当日,とうじつ,appointed day
当番,とうばん,being on duty
当てはまる,あてはまる,"to apply, be applicable"
妥当,だとう,"valid proper, right"
当てはめる,あてはめる,"to apply, adapt"
当選,とうせん,being elected​
手当,てあて,"salary, pay, compensation"
正当,せいとう,"just, justifiable, right, due"
割り当て,わりあて,"allotment, assignment, allocation"
戦闘,せんとう,"battle, fight, combat"
作戦,さくせん,"tactics, strategy"
挑戦,ちょうせん,"challenge, defiance"
休戦,きゅうせん,"cease-fire, truce"
敗戦,はいせん,"defeat, lost battle"
戦略,せんりゃく,"strategy, tactics"
理性,りせい,"reason, reasoning power"
性格,せいかく,"character, personality"
性質,せいしつ,"nature, property"
性能,せいのう,"ability, performance, efficiency"
酸性,さんせい,acidity
中性,ちゅうせい,"neutrality, indifference"
知性,ちせい,intelligence
個性,こせい,"individuality, personality"
異性,いせい,the opposite sex​
適性,てきせい,"aptitude, aptness, suitability"
生産性,せいさんせい,productivity
感性,かんせい,sensitivity
多様性,たようせい,"diversity, variety"
対立,たいりつ,"confrontation, opposition"
対照,たいしょう,contrast
対処,たいしょ,"dealing with, coping with"
対等,たいとう,"equality, equal terms"
対抗,たいこう,"opposition, rivalry"
玄関,げんかん,entrance
関心,かんしん,"concern, interest"
関連,かんれん,"relation, connection, relevance"
関する,かんする,"to concern, be related"
関与,かんよ,"participation, taking part in"
人間関係,にんげんかんけい,human relations
関節,かんせつ,joint
報道機関,ほうどうきかん,information media
関心事,かんしんじ,matter of concern and interest
難関,なんかん,"barrier, obstacle"
関係者,かんけいしゃ,person concerned
利害関係,りがいかんけい,"interests, stake"
関知,かんち,one’s concern
区域,くいき,"limits, boundary, domain"
水域,すいいき,"waters, water area"
禁煙区域,きんえんくいき,no smoking area
管理区域,かんりくいき,controlled access location
聖域,せいいき,sanctuary
広域,こういき,wide area
燃焼,ねんしょう,"burning, combustion"
燃費,ねんぴ,fuel consumption
再燃,さいねん,"recurrence, revival"
不燃物,ふねんぶつ,non-inflammables
化石燃料,かせきねんりょう,fossil fuel
羽ばたく,はばたく,to flap
校則,こうそく,school rules
罰則,ばっそく,punishment
規則的,きそくてき,systematic
交通規則,こうつうきそく,traffic rules
共感,きょうかん,"sympathy, empathy, response"
直感,ちょっかん,"intuition, instinct, hunch"
感謝,かんしゃ,"thanks, gratitude"
感動,かんどう,being deeply moved
感心,かんしん,"admiration, being impressed"
感想,かんそう,impressions
感激,かんげき,"deep emotion, impression"
敏感,びんかん,"sensitive, alert"
同感,どうかん,same feeling or sentiment
痛感,つうかん,feeling keenly
予感,よかん,"presentiment, premonition, hunch"
感触,かんしょく,"feel, touch, sensation, texture"
否定,ひてい,"denial, negation"
測定,そくてい,measurement
定規,じょうぎ,ruler
予定,よてい,plans
定義,ていぎ,definition
固定,こてい,"fixing, fastening, securing"
定食,ていしょく,set meal
決定,けってい,"decision, determination"
勘定,かんじょう,"calculation, computation, bill"
定期,ていき,fixed period
一定,いってい,"fixed, settled, constant, definite"
特定,とくてい,"specific, particular, designated"
推定,すいてい,"presumption, assumption, estimation"
指定,してい,"designation, specification, assignment"
定期券,ていきけん,commuter pass
定員,ていいん,fixed number of personnel
肯定,こうてい,affirmation
政党,せいとう,political party
財政,ざいせい,public finance
政権,せいけん,political power
行政,ぎょうせい,"administration, governance"
家政婦,かせいふ,housekeeper
政治的,せいじてき,political
政敵,せいてき,political opponent
市政,しせい,municipal government
政情,せいじょう,"political situation, political affairs"
受け取る,うけとる,"to receive, get, accept, take"
取れる,とれる,"to come off, be able to get"
取り上げる,とりあげる,to pick up
取り消す,とりけす,"to cancel, withdraw"
取り出す,とりだす,"to take out, produce, pick out, fetch"
取り入れる,とりいれる,"to harvest, reap, take in, adopt"
日取り,ひどり,"fixed date, appointed day"
取っ手,とって,"handle, grip, knob"
引き取る,ひきとる,"to claim, collect, receive"
取り扱い,とりあつかい,"treatment, service, handling"
取り締まり,とりしまり,"control, management, supervision"
取り戻す,とりもどす,"to take back, regain"
取り除く,とりのぞく,"to remove, deinstall, take away"
取り分け,とりわけ,"especially, above all​"
取り組む,とりくむ,"to grapple with, wrestle with, tackle"
取り扱う,とりあつかう,"to handle, operate"
書き取る,かきとる,to write down 
乗っ取る,のっとる,"to take over, capture"
取り寄せる,とりよせる,"to order, send away for"
取り巻く,とりまく,"to surround, encircle"
取り締まる,とりしまる,"to manage, control"
住所,じゅうしょ,"address, residence"
近所,きんじょ,neighbourhood
名所,めいしょ,famous place​
役所,やくしょ,"government office, public office"
便所,べんじょ,"toilet, lavatory"
事務所,じむしょ,office
長所,ちょうしょ,"strong point, merit, virtue"
所謂,いわゆる,so-called
停留所,ていりゅうじょ,stopping place
箇所,かしょ,"place, point, part, spot, area"
短所,たんしょ,"defect, demerit, weak point"
所持,しょじ,"possession, having, carrying"
所在,しょざい,whereabouts
所定,しょてい,"prescribed, designated, appointed"
所有権,しょゆうけん,"dominion, ownership rights"
所得税,しょとくぜい,income tax
発電所,はつでんしょ,power plant
診療所,しんりょうしょ,"clinic, medical office"
税務署,ぜいむしょ,tax office
署長,しょちょう,"chief, head"
支署,ししょ,substation
自署,じしょ,"autograph, signature"
塩辛い,しおからい,salty
辛抱,しんぼう,"patience, endurance, perseverance"
辛口,からくち,dry taste 
激辛,げきから,extremely spicy
焼肉,やきにく,yakiniku
すき焼き,すきやき,sukiyaki
焼きもち,やきもち,jealousy
封建的,ほうけんてき,"feudal, feudalistic"
開封,かいふう,"opening, breaking the seal"
完封,かんぷう,total blockage
経済封鎖,けいざいふうさ,conomic blockade
封書,ふうしょ,sealed letter
溶岩,ようがん,lava
溶け込む,とけこむ,"to melt into, dissolve into"
雪解け,ゆきどけ,snow thaw
溶接,ようせつ,welding
溶融,ようゆう,"melting, fusion"
水溶性,すいようせい,water-soluble
現在,げんざい,the present
現金,げんきん,cash
現象,げんしょう,phenomenon
現像,げんぞう,photographic processing
表現,ひょうげん,expression
現代,げんだい,present age
現場,げんば,actual spot
再現,さいげん,reappearance
現行,げんこう,in operation
出現,しゅつげん,appearance、 arrival
現物,げんぶつ,actual article or goods
現職,げんしょく,present post
言い表す,いいあらわす,to express in words
現実的,げんじつてき,"realistic, pragmatic"
非現実的,ひげんじつてき,unrealistic
最初,さいしょ,beginning
最後,さいご,end
最高,さいこう,best
最終,さいしゅう,final
最低,さいてい,least
最寄り,もより,nearest
最悪,さいあく,worst
最適,さいてき,most suitable
最小限,さいしょうげん,minimum
最前列,さいぜんれつ,front row
最強,さいきょう,strongest
最高峰,さいこうほう,highest peak
最短,さいたん,shortest
最小,さいしょう,smallest
最盛期,さいせいき,"prime, heyday"
最愛,さいあい,beloved
最新版,さいしんばん,latest version
最短距離,さいたんきょり,shortest distance
最終目的,さいしゅうもくてき,ultimate goal​
文化,ぶんか,culture
強化,きょうか,strengthening
消化,しょうか,"digestion, consumption"
進化,しんか,evolution
化石,かせき,fossil
変化,へんか,change
悪化,あっか,deterioration
酸化,さんか,oxidation
誤魔化す,ごまかす,to deceive
文化遺産,ぶんかいさん,cultural heritage
老化,ろうか,ageing
合理化,ごうりか,rationalization
化合物,かごうぶつ,chemical compound​
同化,どうか,"assimilation, absorption​, adaptation"
化粧水,けしょうすい,skin lotion
具体化,ぐたいか,"embodiment, materialization"
自由化,じゆうか,liberalization
国際化,こくさいか,internationalization
激化,げきか,"intensification, aggravation"
文化財,ぶんかざい,cultural assets
民族,みんぞく,"people, race, nation"
植民地,しょくみんち,colony
住民,じゅうみん,"inhabitant, resident"
農民,のうみん,farmer
民間,みんかん,"private, non-governmental"
庶民,しょみん,common people
民宿,みんしゅく,"guest house, bed and breakfast"
公民権,こうみんけん,civil rights
国民性,こくみんせい,national traits
民謡,みんよう,"folk song, popular song"
市民権,しみんけん,"citizenship, civic rights"
首相,しゅしょう,prime minister
相続,そうぞく,succession
相違,そうい,"difference, discrepancy, variation"
真相,しんそう,"truth, real situation"
外相,がいしょう,foreign minister
様相,ようそう,"aspect, phase, condition"
相場,そうば,market price
相乗り,あいのり,riding together;
相槌,あいづち,back-channeling
憲法,けんぽう,constitution
文法,ぶんぽう,grammar
作法,さほう,"manners, etiquette"
寸法,すんぽう,"measurement, size, extent, dimension"
法案,ほうあん,"bill, measure"
法廷,ほうてい,courtroom
手法,しゅほう,"technique, method"
製法,せいほう,"manufacturing method, recipe"
方法論,ほうほうろん,methodology
用法,ようほう,"directions, rules of use"
商法,しょうほう,business practice
違法,いほう,illegal
合法的,ごうほうてき,"legal, lawful"
技法,ぎほう,technique
法的,ほうてき,legal
療法,りょうほう,"therapy, treatment"
税法,ぜいほう,taxation law
立法,りっぽう,legislation
全然,ぜんぜん,not at all
全員,ぜんいん,all members
完全,かんぜん,"perfect, complete"
全体,ぜんたい,"whole, entirety"
全身,ぜんしん,"whole body, full-length"
全集,ぜんしゅう,complete collection
全般,ぜんぱん,"the whole, in general"
健全,けんぜん,"healthy, sound"
全快,ぜんかい,complete recovery of health
全盛,ぜんせい,height of prosperity
友情,ゆうじょう,friendship
表情,ひょうじょう,facial expression
同情,どうじょう,sympathy
事情,じじょう,circumstances
純情,じゅんじょう,pure heart
情熱,じょうねつ,"passion, enthusiasm"
情勢,じょうせい,state of things
心情,しんじょう,sentiment
陳情,ちんじょう,petition
情景,じょうけい,"spectacle, sight"
傾向,けいこう,tendency
意向,いこう,inclination
